0,-1261
1,-1279
2,-1332
3,-1405
4,-1467
5,-1487
6,-1440
7,-1323
8,-1160
9,-999
10,-901
11,-921
12,-1083
13,-1363
14,-1692
15,-1959
16,-2041
17,-1837
18,-1295
19,-433
20,656
21,1828
22,2915
23,3764
24,4276
25,4418
26,4231
27,3807
28,3263
29,2708
30,2216
31,1820
32,1508
33,1246
34,994
35,725
36,433
37,134
38,-143
39,-378
40,-561
41,-699
42,-816
43,-940
44,-1091
45,-1270
46,-1460
47,-1630
48,-1745
49,-1783
50,-1740
